,State Agency or Indian Tribal Organization,Child Part,Avg Food Cost per Person,Cumulative Food Cost,Nutritional services admin annual cost,Infants Full Breastfed Part,Infants partially Breastfed Part,Part Infants Formula-fed,Total Infants Part,Pregnant Women Part,Tot Breastfeeding Women Part,Fully Breastfeeding Women Part,Partially Breastfeeding Women Part,Postpartum Women Part,Total Women Part,Cumulative Rebate Cost
52,"Inter-Tribal Council, OK",482.5,56.0196955280685,588767,363259.0,23.75,9.91666666666667,173.833333333333,207.5,67.5833333333333,35.75,26.4166666666667,9.33333333333333,82.5,185.833333333333,73135
53,"Muscogee Creek Nation, OK",1611.08333333333,42.3411858360114,1436086,897294.0,77.1666666666667,21.5833333333333,533.083333333333,631.833333333333,245.75,102.833333333333,80.25,22.5833333333333,234.916666666667,583.5,652569
54,"Osage Tribal Council, OK",1223.75,46.2595189091845,1438486,1228745.0,48.3333333333333,82.1666666666667,673.583333333333,804.083333333333,164.916666666667,134.166666666667,54.3333333333333,79.8333333333333,264.416666666667,563.5,0
55,"Otoe-Missouria Tribe, OK",260.333333333333,40.7701572432252,243724,554633.0,17.1666666666667,11.5,98.75,127.416666666667,39.5,29.25,19.9166666666667,9.33333333333333,41.6666666666667,110.416666666667,125276
56,"Wichita, Caddo & Delaware (WCD), OK",2133.16666666667,36.6707980978202,1704202,2310134.0,96.1666666666667,71.25,731.083333333333,898.5,328.75,162.75,97.0833333333333,65.6666666666667,349.583333333333,841.083333333333,998088
57,Colorado,46453.1666666667,41.3316375826598,45001887,22870570.0,4459.666666666671,2329.3333333333303,14972.25,21761.25,8370.33333333334,6922.25,4714.083333333329,2208.1666666666697,7226.33333333333,22518.9166666667,17785010
58,Iowa,32076.6666666667,36.8626864887926,28081073,15105671.0,1257.33333333333,3120.5833333333303,11922.416666666699,16300.3333333333,5606.91666666667,3686.66666666667,1973.83333333333,1712.83333333333,5810.66666666667,15104.25,15123034
59,Kansas,32470.6666666667,36.4074688906715,27458331,15759423.0,2300.5833333333303,1916.58333333333,11599.833333333301,15817,6396.33333333333,3774.33333333333,2217.0833333333303,1557.25,4391.25,14561.9166666667,14062079
60,Missouri,64048,38.2153460816489,61808125,30156604.0,4669.5,3002.0,28781.9166666667,36453.4166666667,14660.75,7787.83333333333,4319.166666666671,3468.6666666666697,11830.3333333333,34278.9166666667,33403012
61,Montana,9416.25,41.3960407204103,9177792,5633174.0,929.916666666667,517.833333333333,3175.75,4623.5,1863.33333333333,1403.83333333333,970.666666666667,433.166666666667,1168.66666666667,4435.83333333333,3727363
62,Nebraska,19311.5,43.1342718897542,19130826,10212668.0,950.083333333333,1688.91666666667,6552.16666666667,9191.16666666667,3174.41666666667,2433.25,1159.58333333333,1273.66666666667,2849.5,8457.16666666667,8545605
63,North Dakota,5807.91666666667,46.1140830962197,6353045,3648219.0,511.75,429.0,2052.0833333333303,2992.83333333333,961.166666666667,749.916666666667,395.083333333333,354.833333333333,968.833333333333,2679.91666666667,2584023
64,South Dakota,9396.41666666667,47.491559454933,9981586,7480311.0,683.5,385.75,3155.6666666666697,4224.91666666667,1423.41666666667,1148.41666666667,673.75,474.666666666667,1321.5,3893.33333333333,3744315
65,Utah,30426.0833333333,36.8694195403841,26101300,16051433.0,3783.1666666666706,1754.75,8327.08333333333,13865,5294.58333333333,5543.58333333333,4039.8333333333294,1503.75,3865.66666666667,14703.8333333333,9858957
